local,data,hora,lat,long,umidade,t_ex,t1,t2,t3,t4,t5,t6,t7,t8,data_hora,temp,anormal,temp_faixa
1,04/10/2023,04:43:42,-18.918108,-48.230511,72.21212,24.879816,24.802492,24.873144,24.865826,24.864159,24.815825,22.781658,24.802492,24.802492,2023-04-10 04:43:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,04:53:42,-18.918137,-48.230511,72.601013,24.812601,24.760826,24.799774,24.802492,24.802492,24.794159,24.802492,24.762491,24.764992,2023-04-10 04:53:42,5.786214750000003,1,"(5.7, 7.6]"
1,04/10/2023,05:03:42,-18.9181,-48.230499,72.57576,24.787346,24.739992,24.739992,24.739159,24.739992,24.739992,24.739992,24.739992,24.739992,2023-04-10 05:03:42,5.739887875000001,1,"(5.7, 7.6]"
1,04/10/2023,05:13:42,-18.918152,-48.230507,73.0,24.762108,24.677492,24.708288,24.719992,24.701658,24.677492,24.677492,24.677492,24.675825,2023-04-10 05:13:42,5.689466375000002,1,"(3.8, 5.7]"
1,04/10/2023,05:23:42,-18.918137,-48.230545,73.166664,24.698977,24.677492,24.67568,24.677492,24.678326,24.677492,24.677492,24.677492,24.682491,2023-04-10 05:23:42,5.677994625,1,"(3.8, 5.7]"
1,04/10/2023,05:33:42,-18.91815,-48.230515,73.252525,24.662146,24.739992,24.674774,24.676659,24.673325,24.677492,24.677492,24.699991,24.739992,2023-04-10 05:33:42,5.694964625000001,1,"(3.8, 5.7]"
1,04/10/2023,05:43:42,-18.9182,-48.230389,73.095963,24.67119,24.614992,24.734558,24.736658,24.702492,24.677492,24.677492,24.663324,24.615826,2023-04-10 05:43:42,5.677854249999999,1,"(3.8, 5.7]"
1,04/10/2023,05:53:42,-18.91814,-48.230499,73.974747,24.626219,24.551659,24.557926,24.552492,24.553326,24.532492,24.550825,24.547491,24.552492,2023-04-10 05:53:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,06:03:42,-18.918119,-48.230507,74.5,24.568138,24.548325,24.512636,24.549158,24.550825,24.550825,24.550825,24.548325,24.534159,2023-04-10 06:03:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,06:13:42,-18.918123,-48.230507,75.186867,24.552979,24.571659,24.489992,24.491659,24.489992,24.489992,24.534159,24.552492,24.552492,2023-04-10 06:13:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,06:23:42,-18.918108,-48.230499,75.898987,24.531818,24.489992,24.551586,24.550825,24.552492,24.552492,24.552492,24.542492,24.528326,2023-04-10 06:23:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,06:33:42,-18.918131,-48.230488,75.42424,24.55755,24.614992,24.44289,24.428326,24.464993,24.489992,24.539991,24.575825,24.614992,2023-04-10 06:33:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,06:43:42,-18.918139,-48.230522,75.782829,24.678308,24.869991,24.614992,24.637491,24.680824,24.729158,24.740826,24.802492,24.850824,2023-04-10 06:43:42,5.740824749999998,1,"(5.7, 7.6]"
1,04/10/2023,06:53:42,-18.918127,-48.230549,78.606064,24.758078,24.864992,24.904846,24.925825,24.908325,24.864992,24.874992,24.873325,24.864992,2023-04-10 06:53:42,6.885286125,1,"(5.7, 7.6]"
1,04/10/2023,07:13:42,-18.918142,-48.230549,75.878784,25.023142,25.451658,25.116804,25.163324,25.180824,25.236658,25.313326,25.371658,25.424992,2023-04-10 07:13:42,4.0,0,"(3.8, 5.7]"
1,04/10/2023,07:23:42,-18.918152,-48.23053,74.92424,25.333866,25.781658,25.49452,25.528326,25.552492,25.594158,25.632492,25.695826,25.739992,2023-04-10 07:23:42,5.627433,1,"(3.8, 5.7]"
1,04/10/2023,07:38:35,-18.917694,-48.230511,72.25,26.262497,26.09,25.99,26.031668,26.0525,26.0525,26.0525,26.073334,26.073334,2023-04-10 07:38:35,3.051979499999998,1,"(1.9, 3.8]"
1,04/10/2023,07:39:05,-18.917391,-48.230927,72.035713,26.385714,26.09417,26.0525,26.0525,26.0525,26.0525,26.0525,26.073334,26.073334,2023-04-10 07:39:05,3.062917249999998,1,"(1.9, 3.8]"
1,04/10/2023,07:39:35,-18.91732,-48.231094,72.125,26.487497,26.115,26.0525,26.0525,26.0525,26.094168,26.115,26.115,26.115,2023-04-10 07:39:35,3.088958500000004,1,"(1.9, 3.8]"
